iter	Passed	Remaining
1274	7365	4187
1275	7381	4188
1276	7413	4197
1277	7420	4192
1278	7439	4193
1279	7444	4187
1280	7448	4180
1281	7452	4173
1282	7456	4167
1283	7470	4165
1284	7487	4166
1285	7492	4159
1286	7496	4153
1287	7512	4152
1288	7528	4152
1289	7533	4146
1290	7541	4141
1291	7546	4135
1292	7552	4129
1293	7557	4123
1294	7563	4117
1295	7568	4111
1296	7580	4108
1297	7585	4102
1298	7590	4095
1299	7594	4089
1300	7598	4082
1301	7621	4085
1302	7625	4078
1303	7637	4076
1304	7642	4070
1305	7647	4063
1306	7651	4057
1307	7656	4050
1308	7660	4043
1309	7664	4037
1310	7669	4030
1311	7673	4024
1312	7678	4017
1313	7682	4011
1314	7687	4004
1315	7691	3997
1316	7695	3991
1317	7700	3984
1318	7705	3978
1319	7710	3971
1320	7714	3965
1321	7718	3958
1322	7723	3952
1323	7745	3954
1324	7752	3949
1325	7757	3943
1326	7762	3936
1327	7767	3930
1328	7773	3924
1329	7778	3918
1330	7783	3912
1331	7788	3905
1332	7794	3900
1333	7799	3893
1334	7803	3887
1335	7808	3880
1336	7813	3874
1337	7818	3868
1338	7822	3861
1339	7827	3855
1340	7831	3848
1341	7837	3842
1342	7842	3836
1343	7846	3829
1344	7850	3823
1345	7855	3816
1346	7859	3810
1347	7864	3803
1348	7868	3797
1349	7872	3790
1350	7877	3784
1351	7881	3777
1352	7887	3771
1353	7891	3764
1354	7896	3758
1355	7900	3752
1356	7905	3745
1357	7909	3739
1358	7913	3732
1359	7918	3726
1360	7923	3719
1361	7927	3713
1362	7932	3707
1363	7937	3700
1364	7941	3694
1365	7945	3687
1366	7950	3681
1367	7955	3675
1368	7960	3669
1369	7965	3663
1370	7970	3656
1371	7975	3650
1372	7988	3647
1373	7994	3642
1374	8023	3647
1375	8034	3643
1376	8040	3637
1377	8056	3636
1378	8060	3629
1379	8064	3623
1380	8075	3619
1381	8090	3618
1382	8095	3611
1383	8099	3605
1384	8119	3605
1385	8123	3598
1386	8128	3592
1387	8133	3586
1388	8137	3579
1389	8153	3577
1390	8157	3571
1391	8161	3564
1392	8246	3593
1393	8251	3587
1394	8262	3583
1395	8267	3577
1396	8272	3570
1397	8276	3564
1398	8281	3557
1399	8286	3551
1400	8290	3544
1401	8294	3538
1402	8299	3531
1403	8304	3525
1404	8308	3518
1405	8313	3512
1406	8319	3506
1407	8323	3499
1408	8327	3493
1409	8332	3486
1410	8337	3480
1411	8342	3474
1412	8347	3467
1413	8352	3461
1414	8357	3455
1415	8362	3448
1416	8367	3442
1417	8371	3436
1418	8375	3429
1419	8380	3422
1420	8384	3416
1421	8389	3410
1422	8394	3403
1423	8398	3397
1424	8403	3390
1425	8407	3384
1426	8412	3377
1427	8417	3371
1428	8421	3365
1429	8425	3358
1430	8430	3352
1431	8434	3345
1432	8438	3338
1433	8446	3334
1434	8452	3328
1435	8457	3321
1436	8461	3315
1437	8465	3308
1438	8470	3302
1439	8474	3295
1440	8478	3289
1441	8483	3282
1442	8487	3276
1443	8491	3269
1444	8496	3263
1445	8501	3257
1446	8505	3250
1447	8510	3244
1448	8514	3237
1449	8519	3231
1450	8523	3224
1451	8528	3218
1452	8532	3212
1453	8537	3205
1454	8541	3199
1455	8546	3193
1456	8550	3186
1457	8554	3180
1458	8559	3173
1459	8564	3167
1460	8568	3161
1461	8575	3155
1462	8579	3148
1463	8583	3142
1464	8589	3136
1465	8593	3130
1466	8598	3123
1467	8602	3117
1468	8607	3111
1469	8613	3105
1470	8629	3103
1471	8636	3098
1472	8663	3099
1473	8675	3096
1474	8680	3089
1475	8684	3083
1476	8700	3080
1477	8705	3074
1478	8709	3068
1479	8716	3062
1480	8721	3056
1481	8748	3057
1482	8752	3051
1483	8779	3052
1484	8784	3046
1485	8813	3048
1486	8820	3043
1487	8853	3046
1488	8886	3049
1489	8891	3043
1490	8896	3037
1491	8901	3030
1492	8905	3024
1493	8910	3017
1494	8914	3011
1495	8919	3004
1496	8923	2998
1497	8927	2991
1498	8932	2985
1499	8936	2978
1500	8941	2972
1501	8948	2966
1502	8951	2960
1503	8956	2953
1504	8960	2947
1505	8965	2940
1506	8970	2934
1507	8974	2928
1508	8980	2921
1509	8984	2915
1510	8988	2909
1511	8992	2902
1512	8997	2896
1513	9001	2889
1514	9006	2883
1515	9012	2877
1516	9017	2871
1517	9021	2864
1518	9026	2858
1519	9031	2851
1520	9035	2845
1521	9040	2839
1522	9044	2832
1523	9049	2826
1524	9054	2820
1525	9058	2813
1526	9063	2807
1527	9067	2801
1528	9072	2794
1529	9076	2788
1530	9081	2782
1531	9086	2775
1532	9091	2769
1533	9098	2763
1534	9103	2757
1535	9109	2751
1536	9115	2745
1537	9122	2740
1538	9127	2733
1539	9140	2730
1540	9145	2724
1541	9152	2718
1542	9158	2712
1543	9165	2707
1544	9172	2701
1545	9178	2695
1546	9184	2689
1547	9190	2683
1548	9197	2677
1549	9203	2672
1550	9208	2665
1551	9213	2659
1552	9219	2653
1553	9225	2647
1554	9231	2641
1555	9236	2635
1556	9241	2629
1557	9247	2623
1558	9252	2617
1559	9257	2610
1560	9261	2604
1561	9267	2598
1562	9271	2592
1563	9277	2586
1564	9282	2580
1565	9287	2573
1566	9293	2567
1567	9300	2562
1568	9305	2556
1569	9310	2549
1570	9314	2543
1571	9319	2537
1572	9324	2531
1573	9329	2524
1574	9334	2518
1575	9339	2512
1576	9344	2506
1577	9349	2500
1578	9354	2494
1579	9359	2488
1580	9364	2481
1581	9369	2475
1582	9374	2469
1583	9379	2463
1584	9384	2457
1585	9390	2451
1586	9396	2445
1587	9404	2439
1588	9409	2433
1589	9415	2427
1590	9423	2422
1591	9428	2416
1592	9433	2410
1593	9439	2404
1594	9446	2398
1595	9450	2392
1596	9456	2386
1597	9464	2380
1598	9470	2375
1599	9476	2369
1600	9482	2363
1601	9488	2357
1602	9495	2351
1603	9500	2345
1604	9512	2341
1605	9537	2339
1606	9543	2333
1607	9552	2328
1608	9561	2323
1609	9569	2318
1610	9590	2315
1611	9620	2315
1612	9627	2309
1613	9631	2303
1614	9638	2297
1615	9642	2291
1616	9647	2285
1617	9655	2279
1618	9660	2273
1619	9701	2275
1620	9706	2269
1621	9713	2263
1622	9720	2258
1623	9725	2251
1624	9729	2245
1625	9733	2238
1626	9737	2232
1627	9742	2226
1628	9764	2223
1629	9768	2217
1630	9773	2211
1631	9787	2207
1632	9846	2212
1633	9850	2206
1634	9855	2200
1635	9875	2197
1636	9879	2190
1637	9884	2184
1638	9889	2178
1639	9894	2171
1640	9899	2165
1641	9904	2159
1642	9908	2152
1643	9912	2146
1644	9917	2140
1645	9922	2133
1646	9926	2127
1647	9931	2121
1648	9937	2115
1649	9942	2108
1650	9946	2102
1651	9951	2096
1652	9956	2090
1653	9960	2083
1654	9965	2077
1655	9970	2071
1656	9975	2064
1657	9980	2058
1658	9984	2052
1659	9988	2045
1660	9993	2039
1661	9997	2033
1662	10003	2027
1663	10007	2020
1664	10011	2014
1665	10016	2008
1666	10021	2001
1667	10025	1995
1668	10029	1989
1669	10033	1982
1670	10038	1976
1671	10043	1970
1672	10047	1963
1673	10052	1957
1674	10058	1951
1675	10062	1945
1676	10068	1939
1677	10072	1932
1678	10076	1926
